cod_mun,nome,pop_quilombola,pop_total,pct_quilombola
3128402,Guarani - MG,0.0,7714,0.0
3128501,Guarará - MG,0.0,3149,0.0
3128600,Guarda-Mor - MG,0.0,6539,0.0
3137502,Lagoa Formosa - MG,0.0,18904,0.0
3121506,Desterro do Melo - MG,0.0,2994,0.0
3121803,Dionísio - MG,0.0,6847,0.0
3121902,Divinésia - MG,0.0,4226,0.0
3138203,Lavras - MG,0.0,104761,0.0
3138302,Leandro Ferreira - MG,0.0,3199,0.0
3138401,Leopoldina - MG,0.0,51145,0.0
3138609,Lima Duarte - MG,0.0,17221,0.0
3138625,Limeira do Oeste - MG,0.0,8687,0.0
3138708,Luminárias - MG,0.0,5586,0.0
3138807,Luz - MG,0.0,17875,0.0
3139102,Madre de Deus de Minas - MG,0.0,5191,0.0
3139250,Mamonas - MG,0.0,5997,0.0
3139409,Manhuaçu - MG,0.0,91886,0.0
3139508,Manhumirim - MG,0.0,20613,0.0
3139706,Maravilhas - MG,0.0,7333,0.0
3125002,Ewbank da Câmara - MG,0.0,3875,0.0
3142205,Miraí - MG,0.0,13633,0.0
3139805,Mar de Espanha - MG,0.0,12721,0.0
3139904,Maria da Fé - MG,0.0,14247,0.0
3140100,Marilac - MG,0.0,4224,0.0
3140159,Mário Campos - MG,0.0,15900,0.0
3140209,Maripá de Minas - MG,0.0,3387,0.0
3140308,Marliéria - MG,0.0,4592,0.0
3140407,Marmelópolis - MG,0.0,3200,0.0
3119401,Coronel Fabriciano - MG,0.0,104736,0.0
3119609,Coronel Pacheco - MG,0.0,2762,0.0
3119807,Córrego Danta - MG,0.0,2960,0.0
3119906,Córrego do Bom Jesus - MG,0.0,4272,0.0
3119955,Córrego Fundo - MG,0.0,6133,0.0
3120003,Córrego Novo - MG,0.0,2875,0.0
3120151,Crisólita - MG,0.0,5265,0.0
3120201,Cristais - MG,0.0,12197,0.0
3119203,Coroaci - MG,0.0,10884,0.0
3143401,Monte Sião - MG,0.0,24089,0.0
3120409,Cristiano Otoni - MG,0.0,4667,0.0
3120508,Cristina - MG,0.0,10374,0.0
3120607,Crucilândia - MG,0.0,5434,0.0
3140530,Martins Soares - MG,0.0,8396,0.0
3140555,Mata Verde - MG,0.0,9112,0.0
3140704,Mateus Leme - MG,0.0,37841,0.0
3140803,Matias Barbosa - MG,0.0,14121,0.0
3140902,Matipó - MG,0.0,18552,0.0
3141108,Matozinhos - MG,0.0,37618,0.0
3141207,Matutina - MG,0.0,3814,0.0
3141306,Medeiros - MG,0.0,3900,0.0
3141504,Mendes Pimentel - MG,0.0,5606,0.0
3141900,Minduri - MG,0.0,3741,0.0
3142106,Miradouro - MG,0.0,8968,0.0
3144409,Natércia - MG,0.0,4691,0.0
3144656,Ninheira - MG,0.0,10588,0.0
3144672,Nova Belém - MG,0.0,3151,0.0
3144706,Nova Era - MG,0.0,17438,0.0
3144805,Nova Lima - MG,0.0,111697,0.0
3142254,Miravânia - MG,0.0,3985,0.0
3142403,Moema - MG,0.0,7548,0.0
3143005,Monte Belo - MG,0.0,13046,0.0
3143203,Monte Santo de Minas - MG,0.0,20890,0.0
3117876,Confins - MG,0.0,7350,0.0
3117900,Congonhal - MG,0.0,11083,0.0
3118205,Conquista - MG,0.0,6694,0.0
3118403,Conselheiro Pena - MG,0.0,20824,0.0
3118502,Consolação - MG,0.0,1563,0.0
3118908,Cordisburgo - MG,0.0,7547,0.0
3119005,Cordislândia - MG,0.0,3200,0.0
3117009,Comercinho - MG,0.0,6660,0.0
3117207,Conceição das Pedras - MG,0.0,2772,0.0
3117306,Conceição das Alagoas - MG,0.0,28381,0.0
3117405,Conceição de Ipanema - MG,0.0,4409,0.0
3117603,Conceição do Pará - MG,0.0,5415,0.0
3143450,Montezuma - MG,0.0,6888,0.0
3143500,Morada Nova de Minas - MG,0.0,9067,0.0
3143609,Morro da Garça - MG,0.0,2411,0.0
3143708,Morro do Pilar - MG,0.0,3133,0.0
3143807,Munhoz - MG,0.0,7451,0.0
3143906,Muriaé - MG,0.0,104108,0.0
3144003,Mutum - MG,0.0,27635,0.0
3144201,Nacip Raydan - MG,0.0,2459,0.0
3144300,Nanuque - MG,0.0,35038,0.0
3144359,Naque - MG,0.0,6303,0.0
3144375,Natalândia - MG,0.0,3520,0.0
3146602,Paiva - MG,0.0,1474,0.0
3146701,Palma - MG,0.0,5707,0.0
3146750,Palmópolis - MG,0.0,6301,0.0
3146909,Papagaios - MG,0.0,13920,0.0
3147105,Pará de Minas - MG,0.0,97139,0.0
3147204,Paraguaçu - MG,0.0,21723,0.0
3147303,Paraisópolis - MG,0.0,20445,0.0
3144904,Nova Módica - MG,0.0,3663,0.0
3145109,Nova Resende - MG,0.0,16387,0.0
3145372,Novorizonte - MG,0.0,4571,0.0
3145406,Olaria - MG,0.0,1945,0.0
3145505,Olímpio Noronha - MG,0.0,2555,0.0
3116407,Claraval - MG,0.0,4658,0.0
3116605,Cláudio - MG,0.0,30159,0.0
3116704,Coimbra - MG,0.0,7117,0.0
3116902,Comendador Gomes - MG,0.0,2773,0.0
3115508,Caxambu - MG,0.0,21056,0.0
3115607,Cedro do Abaeté - MG,0.0,1081,0.0
3115706,Central de Minas - MG,0.0,6171,0.0
3115805,Centralina - MG,0.0,10207,0.0
3115904,Chácara - MG,0.0,3075,0.0
3116001,Chalé - MG,0.0,6075,0.0
3116209,Chiador - MG,0.0,2800,0.0
3117702,Conceição do Rio Verde - MG,0.0,12541,0.0
3117801,Conceição dos Ouros - MG,0.0,10880,0.0
3145703,Oliveira Fortes - MG,0.0,2027,0.0
3145802,Onça de Pitangui - MG,0.0,2969,0.0
3145851,Oratórios - MG,0.0,4917,0.0
3146255,Padre Carvalho - MG,0.0,5058,0.0
3146305,Padre Paraíso - MG,0.0,17334,0.0
3146404,Paineiras - MG,0.0,4224,0.0
3146503,Pains - MG,0.0,8142,0.0
3113800,Carmésia - MG,0.0,2605,0.0
3113909,Carmo da Cachoeira - MG,0.0,11547,0.0
3114105,Carmo de Minas - MG,0.0,13797,0.0
3114303,Carmo do Paranaíba - MG,0.0,29011,0.0
